Orthogroup	Babesia_bovis	Cardiosporidium_cionae	Cryptosporidium_parvum	Cyclospora_cayetanensis	Eimeria_tenella	Haemoproteus_tartakovskyi	Hepatocystis	Neospora_caninum	Nephromyces	Plasmodium_falciparum	Plasmodium_gaboni	Plasmodium_gallinaceum	Plasmodium_knowlesi	Plasmodium_reichenowi	Plasmodium_vivax	Sarcocystis_neurona	Theileria_annulata	Toxoplasma_gondii
OG0003244						Htart_000058900	VWU52830,VWU52853			PF3D7_1346500.1	PGSY75_1346500.1	PGAL8A_00257600	PKNH_1254600	PRCDC_1345500.1	PVP01_1208300			
OG0003245						Htart_000060800	VWU51175		NEPH_000348-T1	PF3D7_0823100.1	PGSY75_0823100.1	PGAL8A_00116300	PKNH_1317100	PRCDC_0822400.1	PVP01_0511200			
OG0003246						Htart_000063000	VWU51497,VWU53096			PF3D7_0930800.1	PGSY75_0930800.1	PGAL8A_00443700	PKNH_0729400	PRCDC_0928800.1	PVP01_0729400			
OG0003247						Htart_000070900	VWU51840,VWU53353			PF3D7_1009200.1	PGSY75_1009200.1	PGAL8A_00385400	PKNH_0808900	PRCDC_1008600.1	PVP01_0809200			
OG0003248						Htart_000078500	VWU50624		NEPH_003270-T1	PF3D7_1467100.1	PGSY75_1467100.1	PGAL8A_00226500	PKNH_1214200	PRCDC_1466300.1	PVP01_1239700			
OG0003249						Htart_000081500,Htart_000081600	VWU48223			PF3D7_1405700.1	PGSY75_1405700.1	PGAL8A_00277500	PKNH_1352400	PRCDC_1405000.1	PVP01_1343100			
OG0003250						Htart_000087100,Htart_000536100	VWU49428			PF3D7_1420500.1	PGSY75_1420500.1	PGAL8A_00292300	PKNH_1337500	PRCDC_1419800.1	PVP01_1328400			
OG0003251						Htart_000087900	VWU50505,VWU51165			PF3D7_1412100.1	PGSY75_1412100.1	PGAL8A_00283700	PKNH_1346200	PRCDC_1411400.1	PVP01_1336800			
OG0003252						Htart_000089100	VWU49452			PF3D7_0703900.1	PGSY75_0703900.1,PGSY75_0703900.2	PGAL8A_00044000	PKNH_0102100	PRCDC_0702100.1	PVP01_0104100			
OG0003253						Htart_000089200,Htart_000089300	VWU49451			PF3D7_0704000.1	PGSY75_0704000.1	PGAL8A_00044100	PKNH_0102200	PRCDC_0702200.1	PVP01_0104200			
OG0003254						Htart_000094300	VWU51353,VWU53293			PF3D7_1318700.1	PGSY75_1318700.1	PGAL8A_00515000	PKNH_1419500	PRCDC_1317700.1	PVP01_1419600			
OG0003255						Htart_000096900	VWU52553			PF3D7_1330700.1	PGSY75_1330700.1,PGSY75_1330700.2	PGAL8A_00243000	PKNH_1269700	PRCDC_1329700.1	PVP01_1223800			
OG0003256						Htart_000100400	VWU49155		NEPH_003971-T1	PF3D7_0522900.1	PGSY75_0522900.1	PGAL8A_00070100	PKNH_1010000	PRCDC_0522000.1	PVP01_1011000			
OG0003257						Htart_000102600	VWU48633,VWU53160			PF3D7_1117000.1	PGSY75_1117000.1	PGAL8A_00343600	PKNH_0914700	PRCDC_1115400.1	PVP01_0917600			
OG0003258						Htart_000103600	VWU53034,VWU53094			PF3D7_1430400.1	PGSY75_1430400.1	PGAL8A_00302000	PKNH_1328300	PRCDC_1429700.1	PVP01_1319000			
OG0003259						Htart_000103700	VWU52985		NEPH_004264-T1	PF3D7_1430500.1	PGSY75_1430500.1	PGAL8A_00302100	PKNH_1328200	PRCDC_1429800.1	PVP01_1318900			
OG0003260						Htart_000105400	VWU52821		NEPH_001510-T1	PF3D7_1441000.1	PGSY75_1441000.1	PGAL8A_00200200	PKNH_1241300	PRCDC_1440300.1	PVP01_1266000			
OG0003261						Htart_000108700	VWU52778,VWU53035			PF3D7_1145000.1	PGSY75_1145000.1	PGAL8A_00372500	PKNH_0942900	PRCDC_1143400.1	PVP01_0945700			
OG0003262						Htart_000121200	VWU49972,VWU50773			PF3D7_1308400.1	PGSY75_1308400.1	PGAL8A_00504500	PKNH_1408800	PRCDC_1307400.1	PVP01_1409400			
OG0003263						Htart_000132500	VWU48870		NEPH_010007-T1	PF3D7_1222000.1	PGSY75_1222000.1	PGAL8A_00536100	PKNH_1441100	PRCDC_1221300.1	PVP01_1440300			
OG0003264						Htart_000142900	VWU52489,VWU53207			PF3D7_1107800.1	PGSY75_1107800.1	PGAL8A_00335100	PKNH_0905400	PRCDC_1106300.1	PVP01_0908600			
OG0003265						Htart_000144100	VWU50940		NEPH_003783-T1	PF3D7_1435400.1	PGSY75_1435400.1	PGAL8A_00306900	PKNH_0422000	PRCDC_1434700.1	PVP01_1314100			
OG0003266						Htart_000147200,Htart_000476700	VWU49028			PF3D7_0619800.1	PGSY75_0619800.1	PGAL8A_00148200	PKNH_1130500	PRCDC_0618200.1	PVP01_1129700			
OG0003267						Htart_000154500	VWU50378,VWU51984			PF3D7_1132500.1	PGSY75_1132500.1	PGAL8A_00360000	PKNH_0930700	PRCDC_1130900.1	PVP01_0933300			
OG0003268						Htart_000156700,Htart_000318600	VWU50373			PF3D7_1320500.1	PGSY75_1320500.1	PGAL8A_00516800	PKNH_1421100	PRCDC_1319500.1	PVP01_1421300			
OG0003269						Htart_000157400	VWU50611,VWU50725			PF3D7_1414200.1	PGSY75_1414200.1	PGAL8A_00285800	PKNH_1343900	PRCDC_1413500.1	PVP01_1334700			
OG0003270						Htart_000160400,Htart_000160500	VWU49581			PF3D7_1311600.1	PGSY75_1311600.1	PGAL8A_00507800	PKNH_1412000	PRCDC_1310600.1	PVP01_1412600			
OG0003271						Htart_000162100,Htart_000162200	VWU49166			PF3D7_1470800.1	PGSY75_1470800.1	PGAL8A_00230300	PKNH_1210200	PRCDC_1470000.1	PVP01_1236000			
OG0003272						Htart_000163100	VWU51559		NEPH_003813-T1	PF3D7_1359800.1	PGSY75_1359800.1	PGAL8A_00166300	PKNH_1111500	PRCDC_1358700.1	PVP01_1112100			
OG0003273						Htart_000163600	VWU50836		NEPH_008001-T1	PF3D7_0111400.1	PGSY75_0111400.1	PGAL8A_00107100	PKNH_0202200	PRCDC_0109100.1	PVP01_0203800			
OG0003274						Htart_000169300	VWU49959			PF3D7_1361600.1	PGSY75_1361600.1	PGAL8A_00168000	PKNH_1109700	PRCDC_1360500.1	PVP01_1110400		TA20030	
OG0003275						Htart_000173700	VWU51976		NEPH_003918-T1	PF3D7_0108800.1	PGSY75_0108800.1	PGAL8A_00104800	PKNH_0204900	PRCDC_0106600.1	PVP01_0206200			
OG0003276						Htart_000180000	VWU50417,VWU51537			PF3D7_1457700.1	PGSY75_1457700.1	PGAL8A_00217000	PKNH_1224100	PRCDC_1457000.1	PVP01_1249200			
OG0003277						Htart_000189700	VWU51741		NEPH_009139-T1	PF3D7_1234000.1	PGSY75_1234000.1	PGAL8A_00455600	PKNH_1453400	PRCDC_1233200.1	PVP01_1452100			
OG0003278						Htart_000190600	VWU52141,VWU52669			PF3D7_1361200.1	PGSY75_1361200.1	PGAL8A_00167600	PKNH_1110100	PRCDC_1360100.1	PVP01_1110800			
OG0003279						Htart_000191700	VWU48868		NEPH_005984-T1	PF3D7_1303600.1	PGSY75_0017700.1	PGAL8A_00499600	PKNH_1403800	PRCDC_1302600.1	PVP01_1404500			
OG0003280						Htart_000194900	VWU52817,VWU53120			PF3D7_0807400.1	PGSY75_0807400.1	PGAL8A_00052700	PKNH_0111400	PRCDC_0807000.1	PVP01_0113000			
OG0003281						Htart_000201500,Htart_000201600	VWU50405			PF3D7_0308100.1	PGSY75_0308100.1	PGAL8A_00007500	PKNH_0834600	PRCDC_0307400.1	PVP01_0832100			
OG0003282						Htart_000209800	VWU50461,VWU53343			PF3D7_1111200.1	PGSY75_1111200.1	PGAL8A_00338100	PKNH_0908900	PRCDC_1109700.1	PVP01_0912000			
OG0003283						Htart_000210200,Htart_000210300	VWU49430			PF3D7_0828700.1	PGSY75_0828700.1	PGAL8A_00122000	PKNH_1322800	PRCDC_0828000.1	PVP01_0505700			
OG0003284						Htart_000211900	VWU51314		NEPH_006800-T1	PF3D7_1205300.1	PGSY75_1205300.1	PGAL8A_00316700	PKNH_1305000	PRCDC_1204600.1	PVP01_1304400			
OG0003285						Htart_000212600	VWU50558,VWU52127			PF3D7_1456300.1	PGSY75_1456300.1	PGAL8A_00215600	PKNH_1225500	PRCDC_1455600.1	PVP01_1250600			
OG0003286						Htart_000216200	VWU51468,VWU51469			PF3D7_1461400.1	PGSY75_0024900.1	PGAL8A_00220800	PKNH_1220300	PRCDC_1460700.1	PVP01_1245400			
OG0003287						Htart_000217000	VWU49143		NEPH_008876-T1	PF3D7_0912100.1	PGSY75_0912100.1	PGAL8A_00424900	PKNH_0710100	PRCDC_0910200.1	PVP01_0710600			
OG0003288						Htart_000219500	VWU48338,VWU52447			PF3D7_0307600.1	PGSY75_0307600.1	PGAL8A_00007000	PKNH_0835100	PRCDC_0306900.1	PVP01_0832600			
OG0003289						Htart_000219600,Htart_000337600	VWU53206			PF3D7_0307700.1	PGSY75_0307700.1	PGAL8A_00007100	PKNH_0835000	PRCDC_0307000.1	PVP01_0832500			
OG0003290						Htart_000221900,Htart_000222100	VWU48103			PF3D7_0530300.1	PGSY75_0530300.1	PGAL8A_00414400	PKNH_1002400	PRCDC_0529400.1	PVP01_1003600			
OG0003291						Htart_000226900	VWU50129			PF3D7_0321700.1	PGSY75_0321700.1,PGSY75_0321700.2	PGAL8A_00394600	PKNH_0819100	PRCDC_0321000.1	PVP01_0818500			
OG0003292						Htart_000227700	VWU48247		NEPH_007353-T1	PF3D7_1321400.1	PGSY75_1321400.1	PGAL8A_00517700	PKNH_1422000	PRCDC_1320400.1	PVP01_1422200			
OG0003293						Htart_000230800	VWU48705			PF3D7_0921700.1	PGSY75_0921700.1	PGAL8A_00434600	PKNH_0719700	PRCDC_0919700.1	PVP01_0720200		TA19870	
OG0003294						Htart_000231000	VWU50293,VWU52804			PF3D7_1353300.1	PGSY75_1353300.1	PGAL8A_00159700	PKNH_1118400	PRCDC_1352300.1	PVP01_1118400			
OG0003295						Htart_000231100	VWU51085			PF3D7_1353400.1	PGSY75_1353400.1	PGAL8A_00159800	PKNH_1118300	PRCDC_1352400.1	PVP01_1118300		TA11375	
OG0003296						Htart_000237500	VWU49322		NEPH_008468-T1	PF3D7_0520500.1	PGSY75_0520500.1	PGAL8A_00067800	PKNH_1012600	PRCDC_0519600.1	PVP01_1013400			
OG0003297						Htart_000239700	VWU50525		NEPH_002309-T1	PF3D7_1422600.1	PGSY75_1422600.1	PGAL8A_00294400	PKNH_1335400	PRCDC_1421900.1	PVP01_1326400			
OG0003298						Htart_000241000	VWU48725,VWU48806			PF3D7_1220400.1	PGSY75_1220400.1	PGAL8A_00534600	PKNH_1439600	PRCDC_1219700.1	PVP01_1438800			
OG0003299						Htart_000244500,Htart_000512400	VWU52089			PF3D7_1117200.1	PGSY75_1117200.1	PGAL8A_00343800	PKNH_0914900	PRCDC_1115600.1	PVP01_0917800			
OG0003300						Htart_000247700,Htart_000247800	VWU51033			PF3D7_0717600.1	PGSY75_0717600.1	PGAL8A_00064700	PKNH_0312600	PRCDC_0714900.1	PVP01_0313400			
OG0003301						Htart_000251300,Htart_000529000	VWU49161			PF3D7_0106900.1	PGSY75_0106900.1	PGAL8A_00103000	PKNH_0206600	PRCDC_0104800.1	PVP01_0207900			
OG0003302						Htart_000255100	VWU52885,VWU53045			PF3D7_1238200.1	PGSY75_1238200.1	PGAL8A_00459900	PKNH_1458000	PRCDC_1237400.1	PVP01_1456300			
OG0003303						Htart_000265800,Htart_000265900	VWU53196			PF3D7_1329200.1	PGSY75_1329200.1	PGAL8A_00241500	PKNH_1271200	PRCDC_1328200.1	PVP01_1225300			
OG0003304						Htart_000268300	VWU51705,VWU52614			PF3D7_0421700.1	PGSY75_0421700.1	PGAL8A_00449300	PKNH_0513500	PRCDC_0418900.1	PVP01_0530200			
OG0003305						Htart_000269400,Htart_000269500	VWU49627			PF3D7_0803300.1	PGSY75_0803300.1	PGAL8A_00079500	PKNH_0115600	PRCDC_0802900.1	PVP01_0116900			
OG0003306						Htart_000272200	VWU52701		NEPH_001227-T1	PF3D7_1333500.1	PGSY75_1333500.1	PGAL8A_00245700	PKNH_1267100	PRCDC_1332500.1	PVP01_1221200			
OG0003307						Htart_000274000,Htart_000274100	VWU49329			PF3D7_0811900.1	PGSY75_0811900.1	PGAL8A_00524200	PKNH_1428800	PRCDC_0811200.1	PVP01_1428400			
OG0003308						Htart_000279700	VWU50965			PF3D7_0802700.1	PGSY75_0802700.1,PGSY75_0802700.2	PGAL8A_00078900	PKNH_0116200	PRCDC_0802300.1	PVP01_0117500			
OG0003309						Htart_000284300	VWU50474,VWU51866			PF3D7_1313100.1	PGSY75_1313100.1	PGAL8A_00509400	PKNH_1413700	PRCDC_1312100.1	PVP01_1414000			
OG0003310						Htart_000285600	VWU52617		NEPH_010419-T1	PF3D7_1312800.1	PGSY75_1312800.1	PGAL8A_00509100	PKNH_1413400	PRCDC_1311800.1	PVP01_1413700			
OG0003311						Htart_000286100,Htart_000333500	VWU50825			PF3D7_0920400.1	PGSY75_0920400.1	PGAL8A_00433200	PKNH_0718400	PRCDC_0918400.1	PVP01_0718800			
OG0003312						Htart_000300700	VWU50295,VWU52908			PF3D7_0630800.1	PGSY75_0630800.1	PGAL8A_00159400	PKNH_1118700	PRCDC_0629200.1	PVP01_1118700			
OG0003313						Htart_000304400	VWU49298		NEPH_008198-T1	PF3D7_0108300.1	PGSY75_0108300.1	PGAL8A_00104400	PKNH_0205400	PRCDC_0106100.1	PVP01_0206700			
OG0003314						Htart_000306600	VWU48133		NEPH_003729-T1	PF3D7_0608310.1	PGSY75_0608310.1	PGAL8A_00136900	PKNH_1141900	PRCDC_0607000.1	PVP01_1140600			
OG0003315						Htart_000313200,Htart_000313400	VWU50679			PF3D7_1410400.1	PGSY75_1410400.1	PGAL8A_00282000	PKNH_1347900	PRCDC_1409700.1	PVP01_1338500			
OG0003316						Htart_000313700,Htart_000313800	VWU51540			PF3D7_0526500.1	PGSY75_0526500.1	PGAL8A_00073800	PKNH_1006300	PRCDC_0525600.1	PVP01_1007300			
OG0003317						Htart_000320000	VWU51997,VWU52107			PF3D7_1131400.1	PGSY75_1131400.1	PGAL8A_00358800	PKNH_0929500	PRCDC_1129800.1	PVP01_0932200			
OG0003318						Htart_000322200	VWU48170			PF3D7_1357600.1	PGSY75_1357600.1,PGSY75_1357600.2	PGAL8A_00195500	PKNH_1113900	PRCDC_1356500.1	PVP01_1114300			
OG0003319						Htart_000333300,Htart_000333400	VWU50827			PF3D7_0920600.1	PGSY75_0920600.1	PGAL8A_00433500	PKNH_0718600	PRCDC_0918600.1	PVP01_0719000			
OG0003320						Htart_000335900	VWU50427			PF3D7_0216100.1	PGSY75_0001600A.1,PGSY75_0001600B.1	PGAL8A_00406700	PKNH_0404800	PRCDC_0215000.1	PVP01_0408900			
OG0003321						Htart_000336100	VWU52709,VWU53110			PF3D7_0819300.1	PGSY75_0819300.1	PGAL8A_00112300	PKNH_1313100	PRCDC_0818600.1	PVP01_0515000			
OG0003322						Htart_000341800,Htart_000341900	VWU49293			PF3D7_0107700.1	PGSY75_0107700.1	PGAL8A_00103900	PKNH_0205900	PRCDC_0105600.1	PVP01_0207200			
OG0003323						Htart_000351000	VWU49163			PF3D7_1470500.1	PGSY75_1470500.1	PGAL8A_00230000	PKNH_1210500	PRCDC_1469700.1	PVP01_1236300		TA02890	
OG0003324						Htart_000354800	VWU52353,VWU52906			PF3D7_1232500.1	PGSY75_1232500.1	PGAL8A_00454200	PKNH_1452000	PRCDC_1231800.1	PVP01_1450700			
OG0003325						Htart_000357700	VWU51222,VWU53245			PF3D7_0217200.1	PGSY75_0217200.1	PGAL8A_00407900	PKNH_0403700	PRCDC_0216100.1	PVP01_0407800			
OG0003326						Htart_000358800	VWU48808			PF3D7_1212600.1	PGSY75_1212600.1,PGSY75_1212600.2	PGAL8A_00527300	PKNH_1432000	PRCDC_1211900.1	PVP01_1431500			
OG0003327						Htart_000359400,Htart_000359500	VWU48630			PF3D7_0906600.1	PGSY75_0906600.1	PGAL8A_00419200	PKNH_0704400	PRCDC_0904700.1	PVP01_0705100			
OG0003328						Htart_000359900	VWU51901,VWU52950			PF3D7_1325900.1	PGSY75_1325900.1	PGAL8A_00237800	PKNH_1202900	PRCDC_1324900.1	PVP01_1228700			
OG0003329						Htart_000361400	VWU51691,VWU52902			PF3D7_0504800.1	PGSY75_0504800.1	PGAL8A_00026000	PKNH_1028800	PRCDC_0504000.1	PVP01_1029200			
OG0003330						Htart_000366800,Htart_000463400	VWU51572			PF3D7_0913600.1	PGSY75_0913600.1	PGAL8A_00426400	PKNH_0711500	PRCDC_0911600.1	PVP01_0712000			
OG0003331						Htart_000373900	VWU52542,VWU53122			PF3D7_0927400.1	PGSY75_0927400.1	PGAL8A_00440200	PKNH_0725700	PRCDC_0925400.1	PVP01_0725900			
OG0003332						Htart_000377600	VWU51438,VWU52703			PF3D7_1325400.1	PGSY75_1325400.1	PGAL8A_00237300	PKNH_1203400	PRCDC_1324400.1	PVP01_1229200			
OG0003333						Htart_000383600	VWU50599		NEPH_000679-T1	PF3D7_1143200.1	PGSY75_1143200.1	PGAL8A_00370700	PKNH_0941100	PRCDC_1141600.1	PVP01_0943900			
OG0003334						Htart_000385300,Htart_000523800	VWU51547			PF3D7_1021900.1	PGSY75_1021900.1	PGAL8A_00481100	PKNH_0606200	PRCDC_1021300.1	PVP01_0607100			
OG0003335						Htart_000388400,Htart_000515800	VWU51411			PF3D7_0805400.1	PGSY75_0805400.1	PGAL8A_00107900	PKNH_0113800	PRCDC_0805000.1	PVP01_0115100			
OG0003336						Htart_000390200	VWU52403,VWU53365			PF3D7_1247900.1	PGSY75_1247900.1	PGAL8A_00468600	PKNH_1467600	PRCDC_1247300.1	PVP01_1465000			
OG0003337						Htart_000390300	VWU51489			PF3D7_1032100.1	PGSY75_0011700A.1,PGSY75_0011700B.1	PGAL8A_00491500	PKNH_0616900	PRCDC_1031400.1	PVP01_0617200			
OG0003338						Htart_000393800	VWU49515		NEPH_008104-T1	PF3D7_1242100.1	PGSY75_1242100.1	PGAL8A_00462800	PKNH_1461400	PRCDC_1241500.1	PVP01_1459200			
OG0003339						Htart_000396100	VWU51109,VWU52827			PF3D7_1469500.1	PGSY75_1469500.1	PGAL8A_00228900	PKNH_1211500	PRCDC_1468700.1	PVP01_1237300			
OG0003340						Htart_000398500	VWU50114,VWU52292			PF3D7_0626000.1	PGSY75_0626000.1	PGAL8A_00154500	PKNH_1123800	PRCDC_0624400.1	PVP01_1123500			
OG0003341						Htart_000406100,Htart_000406200	VWU49398			PF3D7_1215400.1	PGSY75_1215400.1	PGAL8A_00530000	PKNH_1434900	PRCDC_1214700.1	PVP01_1434200			
OG0003342						Htart_000410300,Htart_000410400	VWU50596			PF3D7_1143500.1	PGSY75_1143500.1	PGAL8A_00371000	PKNH_0941400	PRCDC_1141900.1	PVP01_0944200			
OG0003343						Htart_000411000	VWU49808,VWU53119			PF3D7_1021200.1	PGSY75_1021200.1	PGAL8A_00480400	PKNH_0605500	PRCDC_1020600.1	PVP01_0606400			
OG0003344						Htart_000411200,Htart_000411300	VWU52574			PF3D7_0108700.1	PGSY75_0108700.1	PGAL8A_00376000	PKNH_0205000	PRCDC_0106500.1	PVP01_0206300			
OG0003345						Htart_000414000	VWU52619,VWU52643			PF3D7_0105800.1	PGSY75_0105800.1	PGAL8A_00101900	PKNH_0207700	PRCDC_0103700.1	PVP01_0209000			
OG0003346						Htart_000414300,Htart_000414400	VWU49908			PF3D7_1131100.1	PGSY75_1131100.1	PGAL8A_00358500	PKNH_0929200	PRCDC_1129500.1	PVP01_0931900			
OG0003347						Htart_000417000	VWU48485,VWU52712			PF3D7_0703000.1	PGSY75_0703000.1	PGAL8A_00043100	PKNH_0101200	PRCDC_0701200.1	PVP01_0103200			
OG0003348						Htart_000418800	VWU48733,VWU52078			PF3D7_0930200.1	PGSY75_0930200.1	PGAL8A_00443000	PKNH_0728700	PRCDC_0928200.1	PVP01_0728700			
OG0003349						Htart_000426900	VWU52307		NEPH_007235-T1	PF3D7_0614300.1	PGSY75_0614300.1	PGAL8A_00143000	PKNH_1135700	PRCDC_0613000.1	PVP01_1134800			
OG0003350						Htart_000427400,Htart_000486200	VWU49758			PF3D7_1138700.1	PGSY75_1138700.1	PGAL8A_00366400	PKNH_0936900	PRCDC_1137100.1	PVP01_0939700			
OG0003351						Htart_000432200	VWU51862,VWU53282			PF3D7_1419000.1	PGSY75_1419000.1	PGAL8A_00290800	PKNH_1339000	PRCDC_1418300.1	PVP01_1329900			
OG0003352						Htart_000435000	VWU48306,VWU48308			PF3D7_0822900.1	PGSY75_0822900.1	PGAL8A_00116100	PKNH_1316900	PRCDC_0822200.1	PVP01_0511400			
OG0003353						Htart_000435600	VWU52819,VWU52970			PF3D7_0721200.1	PGSY75_0721200.1	PGAL8A_00084400	PKNH_0316600	PRCDC_0718400.1	PVP01_0316900			
OG0003354						Htart_000437700	VWU52335,VWU53240			PF3D7_1308600.1	PGSY75_1308600.1	PGAL8A_00504700	PKNH_1409000	PRCDC_1307600.1	PVP01_1409600			
OG0003355						Htart_000439800	VWU51940,VWU52073			PF3D7_1241200.1	PGSY75_1241200.1	PGAL8A_00461900	PKNH_1460300	PRCDC_1240600.1	PVP01_1458300			
OG0003356						Htart_000443200	VWU50637,VWU52350			PF3D7_1326600.1	PGSY75_1326600.1	PGAL8A_00238800	PKNH_1202000	PRCDC_1325600.1	PVP01_1227800			
OG0003357						Htart_000443400	VWU49414		NEPH_001293-T1	PF3D7_0526300.1	PGSY75_0526300.1	PGAL8A_00073600	PKNH_1006500	PRCDC_0525400.1	PVP01_1007500			
OG0003358						Htart_000445700	VWU50217			PF3D7_1345800.1	PGSY75_1345800.1,PGSY75_1345800.2	PGAL8A_00256900	PKNH_1255500	PRCDC_1344800.1	PVP01_1209000			
OG0003359						Htart_000449800	VWU51269			PF3D7_1411100.1	PGSY75_1411100.1,PGSY75_1411100.2	PGAL8A_00282700	PKNH_1347200	PRCDC_1410400.1	PVP01_1337800			
OG0003360						Htart_000452600,Htart_000452700	VWU51123			PF3D7_0512800.1	PGSY75_0512800.1	PGAL8A_00034200	PKNH_1020300	PRCDC_0512000.1	PVP01_1021100			
OG0003361						Htart_000453700,Htart_000453900	VWU48874			PF3D7_1106900.1	PGSY75_1106900.1	PGAL8A_00334200	PKNH_0904500	PRCDC_1105400.1	PVP01_0907700			
OG0003362						Htart_000455200	VWU51003,VWU52998			PF3D7_1439200.1	PGSY75_1439200.1	PGAL8A_00198400	PKNH_1243100	PRCDC_1438500.1	PVP01_1267800			
OG0003363						Htart_000456600,Htart_000493500	VWU51693			PF3D7_0717300.1	PGSY75_0717300.1	PGAL8A_00064400	PKNH_0312300	PRCDC_0714600.1	PVP01_0313100			
OG0003364						Htart_000461500	VWU48581		NEPH_005808-T1	PF3D7_0805100.1	PGSY75_0805100.1	PGAL8A_00081200	PKNH_0114100	PRCDC_0804700.1	PVP01_0115400			
OG0003365						Htart_000462100	VWU53100,VWU53112			PF3D7_1309000.1	PGSY75_1309000.1	PGAL8A_00505100	PKNH_1409400	PRCDC_1308000.1	PVP01_1410000			
OG0003366						Htart_000462500	VWU49178,VWU51909			PF3D7_0303100.1	PGSY75_0303100.1	PGAL8A_00002400	PKNH_0840000	PRCDC_0302400.1	PVP01_0837100			
OG0003367						Htart_000462600,Htart_000531500	VWU50649			PF3D7_0815500.1	PGSY75_0815500.1	PGAL8A_00086700	PKNH_0504900	PRCDC_0814800.1	PVP01_0519800			
OG0003368						Htart_000463300	VWU50996,VWU51142			PF3D7_1011100.1	PGSY75_1011100.1	PGAL8A_00387400	PKNH_0810900	PRCDC_1010500.1	PVP01_0811200			
OG0003369						Htart_000463600	VWU48689			PF3D7_0827300.1	PGSY75_0007600A.1,PGSY75_0007600B.1	PGAL8A_00120500	PKNH_1321400	PRCDC_0826600.1	PVP01_0507100			
OG0003370						Htart_000464600	VWU52248,VWU52707			PF3D7_0417900.1	PGSY75_0417900.1	PGAL8A_00091400	PKNH_0510300	PRCDC_0415400.1	PVP01_0527300			
OG0003371						Htart_000468000	VWU51124			PF3D7_0512700.1	PGSY75_0512700.1	PGAL8A_00034100	PKNH_1020400	PRCDC_0511900.1	PVP01_1021200		TA19940	
OG0003372						Htart_000471200	VWU50527,VWU52455			PF3D7_0505000.1	PGSY75_0505000.1	PGAL8A_00026200	PKNH_1028600	PRCDC_0504200.1	PVP01_1029000			
OG0003373						Htart_000476500	VWU49115			PF3D7_0109950.1	PGSY75_0109900.1,PGSY75_0109900.2	PGAL8A_00105850	PKNH_0203850	PRCDC_0107750.1	PVP01_0205100			
OG0003374						Htart_000478700,Htart_000528100	VWU50831			PF3D7_1237200.1	PGSY75_1237200.1	PGAL8A_00458900	PKNH_1456900	PRCDC_1236400.1	PVP01_1455300			
OG0003375						Htart_000482900	VWU48101			PF3D7_0530100.1	PGSY75_0530100.1	PGAL8A_00414200	PKNH_1002600	PRCDC_0529200.1	PVP01_1003800	SN3_00800285		
OG0003376						Htart_000483200	VWU53227,VWU53358			PF3D7_0502700.1	PGSY75_0502700.1	PGAL8A_00023900	PKNH_1031200	PRCDC_0502000.1	PVP01_1032300			
OG0003377						Htart_000485300	VWU51384			PF3D7_0529900.1	PGSY75_0529900.1	PGAL8A_00077200	PKNH_1002900	PRCDC_0529000.1	PVP01_1004000		TA14195	
OG0003378						Htart_000486600	VWU48950			PF3D7_1360400.1	PGSY75_1360400.1	PGAL8A_00166900	PKNH_1110900	PRCDC_1359300.1	PVP01_1111500		TA12205	
OG0003379						Htart_000486700	VWU50880,VWU51428			PF3D7_1428900.1	PGSY75_1428900.1	PGAL8A_00300400	PKNH_1329800	PRCDC_1428200.1	PVP01_1320500			
OG0003380						Htart_000491300	VWU48457,VWU51967			PF3D7_0305900.1	PGSY75_0305900.1	PGAL8A_00005200	PKNH_0836800	PRCDC_0305200.1	PVP01_0834300			
OG0003381						Htart_000492500	VWU48215,VWU49453			PF3D7_1404900.1	PGSY75_1404900.1	PGAL8A_00276700	PKNH_1353200	PRCDC_1404200.1	PVP01_1343900			
OG0003382						Htart_000501100	VWU48986,VWU51185			PF3D7_1251400.1	PGSY75_1251400.1	PGAL8A_00472400	PKNH_1471400	PRCDC_1250800.1	PVP01_1468500			
OG0003383						Htart_000505300	VWU52179			PF3D7_1467600.1	PGSY75_0025000.1,PGSY75_1467600.1	PGAL8A_00227000	PKNH_1213700	PRCDC_1466800.1	PVP01_1239200			
OG0003384						Htart_000509300	VWU48518,VWU48521			PF3D7_1235800.1	PGSY75_1235800.1	PGAL8A_00457500	PKNH_1455500	PRCDC_1235000.1	PVP01_1453900			
OG0003385						Htart_000513100	VWU50050			PF3D7_0724500.1	PGSY75_0724500.1,PGSY75_0724500.2	PGAL8A_00182200	PKNH_0319900	PRCDC_0721700.1	PVP01_0320200			
OG0003386						Htart_000525400	VWU49299,VWU50539			PF3D7_1369200.1	PGSY75_1369200.1	PGAL8A_00175700	PKNH_1102000	PRCDC_1368100.1	PVP01_1102800			
OG0003387						Htart_000526400	VWU49636,VWU50760			PF3D7_0315300.1	PGSY75_0315300.1	PGAL8A_00401000	PKNH_0826800	PRCDC_0314600.1	PVP01_0824800			
OG0003388						Htart_000540300,Htart_000540400	VWU51024			PF3D7_0524100.1	PGSY75_0524100.1	PGAL8A_00071300	PKNH_1008800	PRCDC_0523200.1	PVP01_1009800			
OG0003389						Htart_000542300	VWU52175,VWU52608			PF3D7_1013400.1	PGSY75_1013400.1	PGAL8A_00389600	PKNH_0813200	PRCDC_1012800.1	PVP01_0813500			
